name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
accelerate,,https://huggingface.co/docs/accelerate/index,logos/f975c8a171af33d268543e8ec85de06980f3ddc7069f82db0645d075285c4b1d.svg,,,,,,,,,Accelerate is a library that enables the same PyTorch code to be run across distributed configurations,,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
Albumentations,,https://albumentations.ai/docs/,logos/9c283e8d47d4c3f87139e047313bbb92c6f038a28d7d1ceea7378542b33b9dd5.svg,,,,,,,,,a Python library for image augmentation used in deep learning and computer vision tasks to increase the quality of trained models. The purpose of image augmentation is to create new training samples from the existing data.,,,,,,,,,,,,Model,Computer vision,,,,,,,,,,,,,,,,,,,,,,,,
AllenNLP,,https://allenai.org/allennlp,logos/43d3a869c90be770813540f0fd05114f0250a9fb796e52ed7f7ceb33772ad2ef.svg,,,,,,,,,"An NLP research library, built on PyTorch, for developing state-of-the-art deep learning models on a wide variety of linguistic tasks.",,,,,,,,,,,,Model,Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,
Anomalib,,https://anomalib.readthedocs.io/en/latest/,logos/79211c70ad6c0b096a678d6642e449e908438c6ba9ea651323b55b258a1a99ac.svg,,,,,,,,,"An anomaly detection library comprising state-of-the-art algorithms and features such as experiment management, hyper-parameter optimization, and edge inference.",,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
avalanche,,http://avalanche.continualai.org/,logos/6db724b646af4bb6a96bf1e939a4018ee5f01db33e92af69a611275266ba90f5.svg,,,,,,,,,"Avalanche is an End-to-End Continual Learning Library based on PyTorch, for fast prototyping, training, and reproducible evaluation of continual learning algorithms.",,,,,,,,,,,,Model,Continuous Learning,,,,,,,,,,,,,,,,,,,,,,,,
baal,,https://baal.readthedocs.io/,logos/e52fe477062933115c9eee93722f40f2dba311e6935fb12b5bf490fc94c26eb5.svg,,,,,,,,,Baal is a Bayesian active learning library. Provides methods to do posterior distribution sampling in order to maximize the efficiency of labelling during active learning. Our library is suitable for research and industrial applications.,,,,,,,,,,,,Model,Probabilistic Models,,,,,,,,,,,,,,,,,,,,,,,,
BoTorch,,https://botorch.org/,logos/bf6001cce117af4ae13495875da21ba11ba34f5d42b525ce555f61452ad9fc6d.svg,,,,,,,,,A Framework for Efficient Monte-Carlo Bayesian Optimization,,,,,,,,,,,,Model,Probabilistic Models,,,,,,,,,,,,,,,,,,,,,,,,
Captum,,https://captum.ai/docs/introduction.html,logos/2abc1fc7558376c329b2798f7bcde761b3644e8805d84dc631370e0e76d75b8d.svg,,,,,,,,,"An open source, extensible library for model interpretability built on PyTorch.",,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Clear ML,,https://clear.ml/,logos/b8f9b0d3ee7df42d688ddfaf95b3177f256d68521167ac27b601778e339fbedc.svg,,,,,,,,,Suite of tools to streamline your AI workflow.,,,,,,,,,,,,Distributed Computing,Parallelization tools,,,,,,,,,,,,,,,,,,,,,,,,
Clinica DL,,https://clinicadl.readthedocs.io/en/latest/,logos/0e35348df86096d30232c0f852e0821acb387f280097ad52f6b298ee03147ee8.svg,,,,,,,,,"open-source deep learning software for reproducible neuroimaging processing. It can be seen as the deep learning extension of Clinica, an open-source Python library for neuroimaging preprocessing and analysis.",,,,,,,,,,,,Model,Computer vision,,,,,,,,,,,,,,,,,,,,,,,,
ColossalAI,,https://www.colossalai.org/,logos/2125379104f8c98deea6e3dd3e0b2af88238792c2f41420624c1a142642c69ca.svg,,,,,,,,,Tools to kickstart distributed training and inference,,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
composer,,http://docs.mosaicml.com/,logos/23206110f1d95753c27e1ebe4c63c6bc2c3b86060c4b332516cd9a3931f1900f.svg,,,,,,,,,"A open-source deep learning training library optimized for scalability and usability, integrating best practices for efficient, multi-node training",,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
DeepSpeed,,https://www.deepspeed.ai/,logos/6a721f2f0c7a39901db79faf3d4307b17472c558462574a3ad699666f4d0e3f3.svg,,,,,,,,,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Depyf,,https://depyf.readthedocs.io/en/latest/,logos/e4a063d36b8096ad076ac1c71881f1be4ccc0a18433cd7541d08de40f2c3370f.svg,,,,,,,,,depyf is a tool to help you understand debug and get insights into pytorch.compile,,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Determined,,https://determined.ai/,logos/6f06ce54ac2345f4d76475807a8d81d20d4f6d8f1f017ac591fb22f312ef329c.svg,,,,,,,,,"Determined is an open-source machine learning platform that simplifies distributed training, hyperparameter tuning, experiment tracking, and resource management. Works with PyTorch and TensorFlow.",,,,,,,,,,,,Distributed Computing,Parallelization tools,,,,,,,,,,,,,,,,,,,,,,,,
DGL,,https://www.dgl.ai/,logos/8bc26a2c13a583b1695caeee24b08ead02adb0d16645e0d2763ea37305fae388.svg,,,,,,,,,"Python package built to ease deep learning on graph, on top of existing DL frameworks.  Fast and memory-efficient message passing primitives for training Graph Neural Networks.",,,,,,,,,,,,Distributed Computing,Parallelization tools,,,,,,,,,,,,,,,,,,,,,,,,
Diffusers,,https://huggingface.co/docs/diffusers/index,logos/ffc8bf3d4d9c6e89044e907ea8b49195426ef764da054041f80845be8605c48e.svg,,,,,,,,,"Pretrained diffusion models for generating images, audio, and even 3D structures of molecules. Whether you are looking for a simple inference solution or want to train your own diffusion model, Diffusers is a modular toolbox that supports both",,,,,,,,,,,,Model,Pretrained Models,,,,,,,,,,,,,,,,,,,,,,,,
einops,,https://einops.rocks/,logos/b5a90edf576208a5d90039a11703e94d01d4d4941c3bb98702a13de77d0cbec3.svg,,,,,,,,,"Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others)",,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Ensemble-Pytorch,,https://ensemble-pytorch.readthedocs.io/,logos/1a5daa080e0d4c6242967eeac5734b744501e8d1bfe8a1f86e4305047a928ef0.svg,,,,,,,,,unified ensemble framework for PyTorch to improve the performance and robustness of your ensemble based deep learning model,,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
fastai,,https://docs.fast.ai/,logos/9b1d9cefe662d9c4a595cbe44fddc8c2d31a2390f6ac3ac0ae025a8c878a53ce.svg,,,,,,,,,"fastai is a deep learning library which provides practitioners with high-level components that can quickly and easily provide state-of-the-art results in standard deep learning domains, and provides researchers with low-level components that can be mixed and matched to build new approaches",,,,,,,,,,,,Distributed Computing,Parallelization tools,,,,,,,,,,,,,,,,,,,,,,,,
Flair,,https://github.com/flairNLP/flair,logos/79bb5140f6e438d44b09dbd2bde4ba675f11bb1e19b84e74b0ada9b16c0b034a.svg,,,,,,,,,"Flair allows you to apply our state-of-the-art natural language processing (NLP) models to your text, such as named entity recognition (NER), sentiment analysis, part-of-speech tagging (PoS), special support for biomedical texts, sense disambiguation and classification, with support for a rapidly growing number of languages",,,,,,,,,,,,Model,Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,
Flower,,https://flower.ai/,logos/af4acf3f0922e8bb18cd7439136d299b7c8ddd7c5b8e7574bb31c17c6b4450b1.svg,,,,,,,,,"A unified approach to federated learning, analytics, and evaluation. Federate any workload, any ML framework, and any programming language",,,,,,,,,,,,Distributed Computing,Federated learning,,,,,,,,,,,,,,,,,,,,,,,,
FuseMedML,,https://pytorch.org/ecosystem/,logos/bed2d7b1ea133092432cc28a1d20d3314098a2c30624894f1bad0ed7162fa03d.svg,,,,,,,,,A python framework accelerating ML based discovery in the medical field by encouraging code reuse,,,,,,,,,,,,Model,Biomedical,,,,,,,,,,,,,,,,,,,,,,,,
GaNDLF,,https://www.nature.com/articles/s44172-023-00066-3,logos/2c684fbc52871399018ed1bbd4eb4558cf380b37f789128ab453063f072a1377.svg,,,,,,,,,"The Generally Nuanced Deep Learning Framework (GaNDLF) for image segmentation and classification, especially in the biomedical field.",,,,,,,,,,,,Model,Computer vision,,,,,,,,,,,,,,,,,,,,,,,,
GPyTorch,,https://arxiv.org/abs/1809.11165,logos/edd7c89043cddc740dd6ccd3746aee9f57a590b76e93440eff93fb7272c3f4ce.svg,,,,,,,,,"GPyTorch is a Gaussian process library implemented using PyTorch. GPyTorch is designed for creating scalable, flexible, and modular Gaussian process models with ease",,,,,,,,,,,,Model,Probabilistic Models,,,,,,,,,,,,,,,,,,,,,,,,
Horovod,,http://horovod.ai/,logos/a6f46dcbeb116393f35638875cc39a90f61ebc28453af34bf89ce3185da131ae.svg,,,,,,,,,"Horovod is a distributed deep learning training framework for TensorFlow, Keras, PyTorch, and Apache MXNet",,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Ignite,,https://pytorch-ignite.ai/,logos/35bb1388cfcd432baba2f56afef9724cf9bbeca68724e9adcb4232272ad8309f.svg,,,,,,,,,High-level library to help with training and evaluating neural networks in PyTorch,,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
intel-extension-for-pytorch,,https://intel.github.io/intel-extension-for-pytorch/,logos/149058a8b3c96359ac2f000c8958b4899897602728d52d917f9335d1e0273617.svg,,,,,,,,,A Python extension to optimize performance on an Intel platform.,,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
ivy,,https://ivy.dev/,logos/4ac7177a12ab6aa7b56c2420367cbe3b6e1be0de2f9753d69198f5ca9a7731bb.svg,,,,,,,,,Convert Machine Learning Code Between Frameworks,,,,,,,,,,,,Distributed Computing,Parallelization tools,,,,,,,,,,,,,,,,,,,,,,,,
joeynmt,,https://joeynmt.readthedocs.io/en/latest/#,logos/817179366550e656ee07a69f74369f9b49b23e815c2d4c3d5a092fbf4318dbc9.svg,,,,,,,,,JoeyNMT is a minimalist neural machine translation toolkit for educational purposes.,,,,,,,,,,,,Model,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
Kornia,,https://kornia.github.io/,logos/68d50512b8d058f5ae4c92b0fdb1a54132e0b208cb573c1b84bb19e7a2cabd4c.svg,,,,,,,,,Kornia is a geometric computer vision Library for spatial AI library that allows classical computer vision to be integrated into deep learning models.,,,,,,,,,,,,Model,Computer vision,,,,,,,,,,,,,,,,,,,,,,,,
Lightly,,https://docs.lightly.ai/self-supervised-learning/,logos/5135c80fa8aeb01b5a93eb51f1c869d3e920e89759d25f423e0edb513df1fd02.svg,,,,,,,,,LightlySSL is a computer vision framework for self-supervised learning.,,,,,,,,,,,,Model,Computer vision,,,,,,,,,,,,,,,,,,,,,,,,
ludwig,,https://ludwig.ai/latest/,logos/6e299a3f1f6df294a97064d136dd13a8078ec5ccc3d9cfdf4f3f57faf17e4b3b.svg,,,,,,,,,Ludwig is a low-code framework for building custom AI models like LLMs and other deep neural networks.,,,,,,,,,,,,Model,Transfer Learning,,,,,,,,,,,,,,,,,,,,,,,,
MMF,,https://mmf.sh/,logos/0c6791d31524bbcc5d00788ef39db3ff6576fdd3d3b1f8cea530d5c551e9098f.svg,,,,,,,,,A modular framework for vision & language multimodal research.,,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
MONAI,,https://monai.io/,logos/05c4cdff595fa70e0ca8175384c2fbe4efc7c321437d8fd14bd6f13a9671fb74.svg,,,,,,,,,AI Toolkit for Healthcare Imaging,,,,,,,,,,,,Model,Biomedical,,,,,,,,,,,,,,,,,,,,,,,,
NeMo,,https://docs.nvidia.com/nemo-framework/user-guide/latest/overview.html,logos/28338dbf8ea96d2f14e1e737ecab8f55ada4616e445a10a89f0cb2c019ee8f14.svg,,,,,,,,,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",,,,,,,,,,,,Model,Transfer Learning,,,,,,,,,,,,,,,,,,,,,,,,
neural-compressor,,https://intel.github.io/neural-compressor/latest/docs/source/Welcome.html,logos/ba40986b1563b5634522df1bb286e54e543fea3a4ce7e5d0f72c2de633c074f5.svg,,,,,,,,,An open-source Python library supporting popular model compression techniques on all deep learning frameworks.,,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
OctoML Profiler,,https://github.com/octoml/octoml-profile,logos/6a0430bf99ada8d6b9a2f7c296d8719bd6d5081f40036783c1ee51c58ae73217.svg,,,,,,,,,octoml-profile is a python library and cloud service that enables ML engineers to easily assess the performance and cost of PyTorch models on cloud hardware with state-of-the-art ML acceleration technology.,,,,,,,,,,,,Distributed Computing,Parallelization tools,,,,,,,,,,,,,,,,,,,,,,,,
