name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
accelerate,,https://huggingface.co/docs/accelerate/index,logos/f975c8a171af33d268543e8ec85de06980f3ddc7069f82db0645d075285c4b1d.svg,,,,,,,,,Accelerate is a library that enables the same PyTorch code to be run across distributed configurations,,,,,,,,,,,,Core Machine Learning and Deep Learning,Deep Learning Frameworks and Extensions,,,,,,,,,,,,,,,,,,,,,,,,
Albumentations,,https://albumentations.ai/docs/,logos/9c283e8d47d4c3f87139e047313bbb92c6f038a28d7d1ceea7378542b33b9dd5.svg,,,,,,,,,a Python library for image augmentation used in deep learning and computer vision tasks to increase the quality of trained models. The purpose of image augmentation is to create new training samples from the existing data.,,,,,,,,,,,,Specialized Domains,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
AllenNLP,,https://allenai.org/allennlp,logos/43d3a869c90be770813540f0fd05114f0250a9fb796e52ed7f7ceb33772ad2ef.svg,,,,,,,,,"An NLP research library, built on PyTorch, for developing state-of-the-art deep learning models on a wide variety of linguistic tasks.",,,,,,,,,,,,Specialized Domains,Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,
Anomalib,,https://anomalib.readthedocs.io/en/latest/,logos/79211c70ad6c0b096a678d6642e449e908438c6ba9ea651323b55b258a1a99ac.svg,,,,,,,,,"An anomaly detection library comprising state-of-the-art algorithms and features such as experiment management, hyper-parameter optimization, and edge inference.",,,,,,,,,,,,Specialized Domains,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
avalanche,,http://avalanche.continualai.org/,logos/6db724b646af4bb6a96bf1e939a4018ee5f01db33e92af69a611275266ba90f5.svg,,,,,,,,,"Avalanche is an End-to-End Continual Learning Library based on PyTorch, for fast prototyping, training, and reproducible evaluation of continual learning algorithms.",,,,,,,,,,,,Advanced Learning Paradigms,Continual Learning,,,,,,,,,,,,,,,,,,,,,,,,
baal,,https://baal.readthedocs.io/,logos/e52fe477062933115c9eee93722f40f2dba311e6935fb12b5bf490fc94c26eb5.svg,,,,,,,,,Baal is a Bayesian active learning library. Provides methods to do posterior distribution sampling in order to maximize the efficiency of labelling during active learning. Our library is suitable for research and industrial applications.,,,,,,,,,,,,Core Machine Learning and Deep Learning,Machine Learning Tasks Active Learning,,,,,,,,,,,,,,,,,,,,,,,,
BoTorch,,https://botorch.org/,logos/bf6001cce117af4ae13495875da21ba11ba34f5d42b525ce555f61452ad9fc6d.svg,,,,,,,,,A Framework for Efficient Monte-Carlo Bayesian Optimization,,,,,,,,,,,,Core Machine Learning and Deep Learning,Machine Learning Tasks Bayesian Optimizations,,,,,,,,,,,,,,,,,,,,,,,,
Captum,,https://captum.ai/docs/introduction.html,logos/2abc1fc7558376c329b2798f7bcde761b3644e8805d84dc631370e0e76d75b8d.svg,,,,,,,,,"An open source, extensible library for model interpretability built on PyTorch.",,,,,,,,,,,,Core Machine Learning and Deep Learning,Model Interpretation and Explainability,,,,,,,,,,,,,,,,,,,,,,,,
Clear ML,,https://clear.ml/,logos/b8f9b0d3ee7df42d688ddfaf95b3177f256d68521167ac27b601778e339fbedc.svg,,,,,,,,,Suite of tools to streamline your AI workflow.,,,,,,,,,,,,MLOps and Experiment Management,Experiment Management and MLOps,,,,,,,,,,,,,,,,,,,,,,,,
Clinica DL,,https://clinicadl.readthedocs.io/en/latest/,logos/0e35348df86096d30232c0f852e0821acb387f280097ad52f6b298ee03147ee8.svg,,,,,,,,,"open-source deep learning software for reproducible neuroimaging processing. It can be seen as the deep learning extension of Clinica, an open-source Python library for neuroimaging preprocessing and analysis.",,,,,,,,,,,,Specialized Domains,Medical Imaging and Healthcare,,,,,,,,,,,,,,,,,,,,,,,,
